	molecule_chembl_id	units	IC50	canonical_smiles	pIC50	mols
2070	CHEMBL1275853	nM	124.0	COc1cccc(CN2CC3CN(C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F)CCN3C2=O)c1.O=C(O)/C=C/C(=O)O	5.906578314837765	<rdkit.Chem.rdchem.Mol object at 0x7f870f966420>
2071	CHEMBL1275854	nM	114.0	COc1cc(CN2CC3CN(C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F)CCN3C2=O)cc(OC)c1.O=C(O)/C=C/C(=O)O	5.943095148663527	<rdkit.Chem.rdchem.Mol object at 0x7f870f966490>
2072	CHEMBL1275852	nM	101.0	COc1ccccc1CN1CC2CN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CCN2C1=O.O=C(O)/C=C/C(=O)O	5.995678626217358	<rdkit.Chem.rdchem.Mol object at 0x7f870f966500>
2073	CHEMBL1288231	nM	1.8	Cl.Cn1c(=O)[nH]c2cc(N3CCC[C@@](C)(N)C3)n(Cc3ccccc3)c2c1=O	7.7447274948966935	<rdkit.Chem.rdchem.Mol object at 0x7f870f966570>
2074	CHEMBL1288232	nM	36.0	Cl.Cn1c(=O)c2c(cc(N3CCC[C@@](C)(N)C3)n2Cc2ccccc2C#N)n(C)c1=O	6.443697499232713	<rdkit.Chem.rdchem.Mol object at 0x7f870f9665e0>
2075	CHEMBL1288260	nM	28.0	Cl.Cn1c(=O)c2c(cc(N3CCC[C@@](C)(N)C3)n2Cc2cc(F)ccc2Cl)n(C)c1=O	6.552841968657781	<rdkit.Chem.rdchem.Mol object at 0x7f870f966650>
2076	CHEMBL1288261	nM	27.0	Cc1ccc(F)cc1Cn1c(N2CCC[C@@](C)(N)C2)cc2c1c(=O)n(C)c(=O)n2C.Cl	6.568636235841013	<rdkit.Chem.rdchem.Mol object at 0x7f870f9666c0>
2077	CHEMBL1288288	nM	12.0	CCn1c(=O)n(C)c(=O)c2c1cc(N1CCC[C@@](C)(N)C1)n2Cc1cc(F)ccc1C#N.Cl	6.920818753952375	<rdkit.Chem.rdchem.Mol object at 0x7f870f966730>
2078	CHEMBL1288289	nM	13.0	CN(C)C(=O)Cn1c(=O)n(C)c(=O)c2c1cc(N1CCC[C@@](C)(N)C1)n2Cc1cc(F)ccc1Cl.Cl	6.886056647693163	<rdkit.Chem.rdchem.Mol object at 0x7f870f9667a0>
2079	CHEMBL1287844	nM	23.0	Cl.Cn1c(=O)c2c(cc(N3CCC[C@@](C)(N)C3)n2Cc2cc(F)ccc2Cl)n(CCCO)c1=O	6.638272163982407	<rdkit.Chem.rdchem.Mol object at 0x7f870f966810>
2080	CHEMBL1287845	nM	122.0	CCOCCCn1c(=O)n(C)c(=O)c2c1cc(N1CCC[C@@](C)(N)C1)n2Cc1cc(F)ccc1Cl.Cl	5.913640169325252	<rdkit.Chem.rdchem.Mol object at 0x7f870f966880>
2081	CHEMBL1287874	nM	103.0	Cl.Cn1cnc2cc(N3CCC[C@@](C)(N)C3)n(Cc3cc(F)ccc3Cl)c2c1=O	5.987162775294828	<rdkit.Chem.rdchem.Mol object at 0x7f870f9668f0>
2082	CHEMBL1287875	nM	87.0	Cl.Cn1cnc2cc(N3CCC[C@@](C)(N)C3)n(Cc3cc(F)ccc3C#N)c2c1=O	6.060480747381382	<rdkit.Chem.rdchem.Mol object at 0x7f870f966960>
2083	CHEMBL1287901	nM	23.0	Cc1ccc(F)cc1Cn1c(N2CCC[C@@](C)(N)C2)cc2ncn(C)c(=O)c21.Cl	6.638272163982407	<rdkit.Chem.rdchem.Mol object at 0x7f870f9669d0>
2084	CHEMBL1287902	nM	151.0	Cl.Cn1cnc2cc(N3CCC[C@@](C)(N)C3)n(Cc3ccccc3C#N)c2c1=O	5.82102305270683	<rdkit.Chem.rdchem.Mol object at 0x7f870f966a40>
2085	CHEMBL3216724	nM	3.7	COC(=O)c1cccc(NC(=O)Cc2c(C)nc(CC(C)C)c(CN)c2-c2ccc(C)cc2)c1.Cl.Cl	7.431798275933005	<rdkit.Chem.rdchem.Mol object at 0x7f870f966ab0>
2086	CHEMBL3216940	nM	19.0	Cc1ccc(-c2c(CC(=O)Nc3cccc(C(=O)O)c3)c(C)nc(CC(C)C)c2CN)cc1.Cl.Cl	6.721246399047171	<rdkit.Chem.rdchem.Mol object at 0x7f870f966b20>
2087	CHEMBL3216270	nM	8.1	Cc1ccc(-c2c(CC(=O)Nc3cccc(C(N)=O)c3)c(C)nc(CC(C)C)c2CN)cc1.Cl.Cl	7.0915149811213505	<rdkit.Chem.rdchem.Mol object at 0x7f870f966b90>
2088	CHEMBL3215827	nM	1.8	CC(=O)c1cccc(NC(=O)Cc2c(C)nc(CC(C)C)c(CN)c2-c2ccc(C)cc2)c1.Cl.Cl	7.7447274948966935	<rdkit.Chem.rdchem.Mol object at 0x7f870f966c00>
2089	CHEMBL3216271	nM	19.0	COC(=O)c1ccccc1NC(=O)Cc1c(C)nc(CC(C)C)c(CN)c1-c1ccc(C)cc1.Cl.Cl	6.721246399047171	<rdkit.Chem.rdchem.Mol object at 0x7f870f966c70>
2090	CHEMBL3216483	nM	23.0	COC(=O)c1cscc1NC(=O)Cc1c(C)nc(CC(C)C)c(CN)c1-c1ccc(C)cc1.Cl.Cl	6.638272163982407	<rdkit.Chem.rdchem.Mol object at 0x7f870f966ce0>
2091	CHEMBL3216272	nM	30.0	Cc1ccc(-c2c(CC(=O)Nc3cscc3C(=O)O)c(C)nc(CC(C)C)c2CN)cc1.Cl.Cl	6.522878745280337	<rdkit.Chem.rdchem.Mol object at 0x7f870f966d50>
2092	CHEMBL1644844	nM	2.8	Cc1ccc(-c2c(CC(=O)Nc3cccc([S+](C)[O-])c3)c(C)nc(CC(C)C)c2CN)cc1.Cl	7.552841968657781	<rdkit.Chem.rdchem.Mol object at 0x7f870f966dc0>
