SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
[NH3+][C@@H](CC(=O)N1CCCNC(=O)[C@H]1CC(F)(F)F)Cc1cc(F)c(F)cc1F,"CHEMBL217271",788,Done,8.51,-9.24579,"glide_grid_1X70",-9.25689,-1.06719,-1.08958,-0,-2.21387,-31.5721,-23.1838,0.405883,-0.235956,-94.5279,-54.7559,8.2003
N[C@@H](CC(=O)N1CCCNC(=O)[C@H]1CC(F)(F)F)Cc1cc(F)c(F)cc1F,"CHEMBL217271",789,Done,9.41,-2.88637,"glide_grid_1X70",-5.24627,-1.04636,-0.475097,-0,-1.97058,-28.0234,-5.37288,0.5824,-0.12953,-43.0956,-33.3963,8.47072
Cc1ccc(CCNC(=O)CC(C)(C)[NH2+]CC(=O)N2CCC[C@H]2C#N)cc1,"CHEMBL217339",792,Done,6.46,-4.66293,"glide_grid_1X70",-4.94403,-0.904219,-0.400202,-0,-1.52725,-29.556,-11.844,1.39873,-0.256689,-53.9375,-41.4,10.427
Cc1ccc(CCNC(=O)CC(C)(C)NCC(=O)N2CCC[C@H]2C#N)cc1,"CHEMBL217339",793,Done,8.64,10000.6,"glide_grid_1X70",10000,-1.25763,-0.00164566,-0,-1.50577,68.3963,-3.27731,1.40554,-0.20155,10000,65.119,2.78957
C[C@H](CCc1ccc(C(N)=O)cc1)NCC(=O)c1ccccc1,"CHEMBL217388",794,Done,9.08,-2.78776,"glide_grid_1X70",-2.93256,-0.371055,-0.26259,-0,-1.29279,-22.4685,-5.75101,1.15402,-0.174062,-35.0667,-28.2195,2.90955
C[C@H](CCc1ccc(C(N)=O)cc1)[NH2+]CC(=O)c1ccccc1,"CHEMBL217388",795,Done,7.21,-5.74252,"glide_grid_1X70",-6.64812,-1.2093,-0.396417,-0,-1.91382,-29.852,-17.2516,1.14746,-0.195713,-70.3182,-47.1036,8.43258
C[C@H](CCc1ccc(C(N)=O)cc1)NCC(=O)c1ccccc1F,"CHEMBL217532",796,Done,8.89,-2.90848,"glide_grid_1X70",-3.05328,-0.462756,-0.267634,-0,-1.17013,-25.1393,-5.02912,1.04498,-0.186412,-37.8281,-30.1684,2.36208
C[C@H](CCc1ccc(C(N)=O)cc1)[NH2+]CC(=O)c1ccccc1F,"CHEMBL217532",797,Done,7.59,-6.232,"glide_grid_1X70",-7.1376,-1.42257,-0.640941,-0,-2.12012,-29.9355,-15.4117,1.03934,-0.184775,-72.0135,-45.3472,12.1313
[NH3+][C@@H](CC(=O)N1CCCNC(=O)[C@H]1Cc1cnccn1)Cc1cc(F)c(F)cc1F,"CHEMBL217702",798,Done,7.01,-8.58833,"glide_grid_1X70",-8.59883,-1.21315,-0.878997,-0,-2.27645,-36.132,-18.1045,0.466276,-0.17423,-88.8046,-54.2365,12.5757
N[C@@H](CC(=O)N1CCCNC(=O)[C@H]1Cc1cnccn1)Cc1cc(F)c(F)cc1F,"CHEMBL217702",799,Done,7.85,-3.76166,"glide_grid_1X70",-6.15656,-0.965346,-0.947031,-0,-1.48984,-28.0064,-12.4522,0.668993,-0.155181,-52.6464,-40.4586,7.95646
C[C@H](CCc1ccc(C(N)=O)cc1)NCC(=O)c1ccc(Cl)cc1,"CHEMBL217801",800,Done,8.28,-4.53853,"glide_grid_1X70",-4.66393,-0.924555,-0.637112,-0,-1.17692,-22.5704,-10.5333,0.958313,-0.175156,-43.0482,-33.1036,6.91236
C[C@H](CCc1ccc(C(N)=O)cc1)[NH2+]CC(=O)c1ccc(Cl)cc1,"CHEMBL217801",801,Done,6.43,-6.00793,"glide_grid_1X70",-6.98943,-1.65691,-0.52376,-0,-1.74726,-32.4313,-14.6999,0.953359,-0.18831,-74.7354,-47.1311,6.90206
CC(C)(CC(=O)NCCc1ccccn1)[NH2+]CC(=O)N1CCC[C@H]1C#N,"CHEMBL218026",802,Done,9.83,-5.2379,"glide_grid_1X70",-5.5127,-0.834495,-0.49589,-0,-1.48221,-33.1425,-14.5297,1.34175,-0.205272,-68.9658,-47.6722,6.50509
CC(C)(CC(=O)NCCc1ccccn1)NCC(=O)N1CCC[C@H]1C#N,"CHEMBL218026",803,Done,9.9,-2.56834,"glide_grid_1X70",-3.17654,-0.628467,-0.289399,-0,-1.22617,-30.7616,-4.30901,1.3485,-0.196574,-37.7566,-35.0706,14.1634
C[C@H](c1nc(-c2ccc(Cl)cc2Cl)co1)[C@H]([NH3+])C(=O)N1CCCC1,"CHEMBL218254",804,Done,3.69,-6.41859,"glide_grid_1X70",-6.77619,-1.25402,-0.518278,-0,-1.78508,-34.3392,-11.4805,0.395884,-0.175659,-72.7217,-45.8197,4.23813
C[C@H](c1nc(-c2ccc(Cl)cc2Cl)co1)[C@H](N)C(=O)N1CCCC1,"CHEMBL218254",805,Done,3.54,-4.72273,"glide_grid_1X70",-5.19173,-1.33755,-0.304,-0,-1.34033,-37.1414,-5.99424,0.568317,-0.0219572,-53.0978,-43.1356,8.34748
C[C@H](CCc1ccc(C(N)=O)cc1)NCC(=O)c1ccc(F)cc1,"CHEMBL218289",806,Done,8.3,-2.85103,"glide_grid_1X70",-2.98583,-0.481609,-0.268359,-0,-1.2066,-24.9937,-4.30948,1.04498,-0.178141,-37.2997,-29.3032,2.41936
C[C@H](CCc1ccc(C(N)=O)cc1)[NH2+]CC(=O)c1ccc(F)cc1,"CHEMBL218289",807,Done,6.62,-6.68413,"glide_grid_1X70",-7.62743,-1.42858,-0.547154,-0,-2.39585,-35.3461,-15.5326,1.03934,-0.197984,-79.1872,-50.8787,9.8359
C[C@H](c1nc(-c2ccc(Cl)cc2Cl)n[nH]1)[C@H](N)C(=O)N1CCCC1,"CHEMBL218306",808,Done,4.09,-5.64692,"glide_grid_1X70",-6.10002,-1.26614,-0.402676,-0,-1.85325,-36.7208,-7.46491,0.568308,-0.190484,-58.3196,-44.1858,9.06022
C[C@H](c1nc(-c2ccc(Cl)cc2Cl)n[nH]1)[C@H]([NH3+])C(=O)N1CCCC1,"CHEMBL218306",809,Done,4.24,-5.83283,"glide_grid_1X70",-6.67303,-1.46622,-0.313595,-0,-1.59006,-30.8818,-13.3455,0.565539,-0.322788,-69.229,-44.2273,4.87729
C[C@H](c1n[nH]c(-c2ccc(Cl)cc2Cl)n1)[C@H]([NH3+])C(=O)N1CCCC1,"CHEMBL218306",811,Done,4.06,-4.95795,"glide_grid_1X70",-6.43195,-0.80272,-0.541446,-0,-1.6763,-28.6081,-14.8952,0.565539,-0.312334,-65.6871,-43.5033,3.15468
