SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](C(=O)N2Cc3ccccc3C2)CN1,"CHEMBL210995",724,"NO GOOD POSES FOUND",0.1,,,,,,,,,,,,,,
N#C[C@@H]1CC[C@H](C#N)N1C(=O)CN[C@H]1C[C@@H]2CC[C@H]1C2,"CHEMBL211024",726,"NO GOOD POSES FOUND",0.07,,,,,,,,,,,,,,
CC(C)(CC(=O)Nc1ccccc1)NCC(=O)N1CCC[C@H]1C#N,"CHEMBL216383",753,"NO POSES STORED FOR LIGAND",7.38,,,,,,,,,,,,,,
CC(C)(CC(=O)NCc1ccc(C(F)(F)F)cc1)NCC(=O)N1CCC[C@H]1C#N,"CHEMBL216453",755,"NO POSES STORED FOR LIGAND",12.59,,,,,,,,,,,,,,
CC(C)(CC(=O)NCCc1ccccc1C(F)(F)F)NCC(=O)N1CCC[C@H]1C#N,"CHEMBL216878",767,"NO POSES STORED FOR LIGAND",12.24,,,,,,,,,,,,,,
COc1ccc(NC(=O)CC(C)(C)NCC(=O)N2CCC[C@H]2C#N)c(OC)c1OC,"CHEMBL217059",779,"NO POSES STORED FOR LIGAND",8.97,,,,,,,,,,,,,,
CC(C)(CC(=O)Nc1ccc(-c2ccccc2)cc1)[NH2+]CC(=O)N1CCC[C@H]1C#N,"CHEMBL217060",780,"NO POSES STORED FOR LIGAND",5.03,,,,,,,,,,,,,,
CC(C)(CC(=O)Nc1ccc(-c2ccccc2)cc1)NCC(=O)N1CCC[C@H]1C#N,"CHEMBL217060",781,"NO POSES STORED FOR LIGAND",6.12,,,,,,,,,,,,,,
COc1ccc(NC(=O)CC(C)(C)NCC(=O)N2CCC[C@H]2C#N)cc1OC,"CHEMBL217198",783,"NO POSES STORED FOR LIGAND",8.75,,,,,,,,,,,,,,
CC(C)(CC(=O)NC(C)(C)Cc1ccccc1)NCC(=O)N1CCC[C@H]1C#N,"CHEMBL217212",784,"NO POSES STORED FOR LIGAND",8.54,,,,,,,,,,,,,,
C[C@@H](CC(=O)NC(C)(C)c1ccccc1)NCC(=O)N1CCC[C@H]1C#N,"CHEMBL217245",787,"NO POSES STORED FOR LIGAND",7.32,,,,,,,,,,,,,,
COc1ccc(CCNC(=O)CC(C)(C)[NH2+]CC(=O)N2CCC[C@H]2C#N)cc1OC,"CHEMBL217290",790,"NO POSES STORED FOR LIGAND",13.88,,,,,,,,,,,,,,
COc1ccc(CCNC(=O)CC(C)(C)NCC(=O)N2CCC[C@H]2C#N)cc1OC,"CHEMBL217290",791,"NO POSES STORED FOR LIGAND",15.65,,,,,,,,,,,,,,
C[C@H](c1n[nH]c(-c2ccc(Cl)cc2Cl)n1)[C@H](N)C(=O)N1CCCC1,"CHEMBL218306",810,"NO POSES STORED FOR LIGAND",4.52,,,,,,,,,,,,,,
CC(C)(CC(=O)NCCc1ccc(Cl)c(Cl)c1)[NH2+]CC(=O)N1CCC[C@H]1C#N,"CHEMBL218393",815,"NO POSES STORED FOR LIGAND",6.4,,,,,,,,,,,,,,
CC(C)(CC(=O)NCCc1ccc(Cl)c(Cl)c1)NCC(=O)N1CCC[C@H]1C#N,"CHEMBL218393",816,"NO POSES STORED FOR LIGAND",9.2,,,,,,,,,,,,,,
C[C@H](c1nc(-c2cc(Cl)cc(Cl)c2)no1)[C@H]([NH3+])C(=O)N1CCCC1,"CHEMBL219382",832,"NO POSES STORED FOR LIGAND",2.38,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCCc3ccccc32)CN1)N1CCSC1,"CHEMBL223865",852,"NO GOOD POSES FOUND",0.12,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCc3cc(F)ccc32)CN1)N1CCSC1,"CHEMBL223914",854,"NO GOOD POSES FOUND",0.08,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCc3cc(Br)ccc32)CN1)N1CCSC1,"CHEMBL223916",858,"NO GOOD POSES FOUND",0.07,,,,,,,,,,,,,,
O=C([C@@H]1CCCN1)N1CCSC1,"CHEMBL224435",864,"NO GOOD POSES FOUND",0.04,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCc3cc([N+](=O)[O-])ccc32)CN1)N1CCSC1,"CHEMBL225493",866,"NO GOOD POSES FOUND",0.1,,,,,,,,,,,,,,
N#Cc1ccc(CN(CC(=O)[O-])[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)cc1,"CHEMBL227482",877,"NO GOOD POSES FOUND",0.52,,,,,,,,,,,,,,
N#Cc1ccc(C[N@H+](CC(=O)[O-])[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)cc1,"CHEMBL227482",878,"NO POSES STORED FOR LIGAND",12.18,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2Cc3ccccc3C2)CN1)N1CCSC1,"CHEMBL227615",880,"NO GOOD POSES FOUND",0.15,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H]([NH+]2Cc3ccccc3C2)CN1)N1CCSC1,"CHEMBL227615",881,"NO POSES STORED FOR LIGAND",4.72,,,,,,,,,,,,,,
CN(Cc1ccc(C#N)cc1)[C@@H]1CN[C@H](C(=O)N2CCSC2)C1,"CHEMBL227737",884,"NO GOOD POSES FOUND",0.16,,,,,,,,,,,,,,
CC(C)[N@@H+](Cc1ccc(C#N)cc1)[C@@H]1CN[C@H](C(=O)N2CCSC2)C1,"CHEMBL227800",887,"NO POSES STORED FOR LIGAND",8.84,,,,,,,,,,,,,,
CC(C)N(Cc1ccc(C#N)cc1)[C@@H]1CN[C@H](C(=O)N2CCSC2)C1,"CHEMBL227800",888,"NO GOOD POSES FOUND",0.27,,,,,,,,,,,,,,
N#Cc1ccc(CN(Cc2ccc(C#N)cc2)[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)cc1,"CHEMBL228021",891,"NO GOOD POSES FOUND",0.44,,,,,,,,,,,,,,
