,molecule_chembl_id,smiles,IC50,pIC50,molLogP,tpsa,MolWT,NumRotatableBonds,NumHDonors,NumHAcceptors,ro5_fulfilled
748,CHEMBL230283,C[C@@H]1C(=O)N(C(C)(C)C)CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,9.6,7.017728766960432,2.611700000000001,66.64,399.45699999999954,6,1,3,True
749,CHEMBL230282,C[C@@H]1C(=O)N(C2CC2)CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,8.0,7.096910013008056,1.9756,66.64,383.4139999999996,7,1,3,True
750,CHEMBL390886,C[C@@H]1C(=O)N(CC(F)(F)F)CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,19.2,6.716698771296451,2.3755000000000006,66.64,425.3729999999997,7,1,3,True
751,CHEMBL395004,C[C@@H]1C(=O)N(CCOCc2ccccc2)CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,10.5,6.978810700930062,3.0300000000000002,75.87,477.5269999999996,11,1,4,True
752,CHEMBL231117,C[C@@H]1C(=O)N(CCO)CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,15.1,6.82102305270683,0.8055000000000007,86.87,387.4019999999996,9,2,4,True
753,CHEMBL231011,C[C@@H]1C(=O)N(C)CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,11.5,6.939302159646388,1.4429999999999996,66.64,357.3759999999996,7,1,3,True
754,CHEMBL390885,C[C@@H]1C(=O)N(C2CC2)CCCN1C(=O)C[C@H](N)Cc1cc(F)ccc1F,9.0,7.045757490560675,1.8364999999999998,66.64,365.4239999999996,7,1,3,True
755,CHEMBL231010,C[C@@H]1C(=O)N(CC(=O)O)CCCN1C(=O)C[C@H](N)Cc1cc(F)ccc1F,69.9,6.155522824254319,0.7587000000000009,103.94,383.39499999999964,8,2,5,True
756,CHEMBL390884,COC(=O)CN1CCCN(C(=O)C[C@H](N)Cc2cc(F)ccc2F)[C@H](C)C1=O,11.6,6.935542010773082,0.8471000000000003,92.94,397.4219999999997,9,1,5,True
757,CHEMBL231009,CCN1CCCN(C(=O)C[C@H](N)Cc2cc(F)ccc2F)[C@H](C)C1=O,20.7,6.684029654543083,1.6939999999999997,66.64,353.41299999999956,8,1,3,True
758,CHEMBL390853,CC1C(=O)NCCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,6.6,7.180456064458132,1.1008000000000004,75.43,343.34899999999965,6,2,3,True
759,CHEMBL231151,CN(C)C(=O)[C@H](c1ccc(-c2ccc(F)cc2)cc1)[C@@H](N)C(=O)N1CC[C@H](F)C1,1460.0,4.835647144215563,2.5622000000000007,66.64,401.4569999999996,8,1,3,True
760,CHEMBL396789,C=CCC(C(=O)N1CCn2c(nnc2C(F)(F)F)C1)[C@H](N)Cc1cc(F)c(F)cc1F,1995.0,4.700057099977233,2.8187000000000006,77.04,447.38299999999975,7,1,5,True
761,CHEMBL230095,C=COCC(=O)N1CCN(C(=O)C[C@H](N)Cc2ccccc2F)CC1,2209.0,4.655804284128565,0.9164999999999999,75.87,349.4059999999996,8,1,4,True
762,CHEMBL231050,N[C@@H](CC(=O)N1CCn2cc(C(F)(F)F)nc2C1c1ccc(F)cc1)Cc1ccc(F)c(F)c1,1397.0,4.854803593885818,4.210900000000003,64.15,482.4279999999998,6,1,4,True
763,CHEMBL395546,N[C@@H](CC(=O)N1CCn2nccc21)Cc1cc(F)ccc1F,1325.0,4.877784121727173,1.4679999999999997,64.15,306.3159999999997,5,1,4,True
764,CHEMBL410187,N[C@@H](CC(=O)N1CCN(c2ccc(Cl)cc2)CC1)Cc1ccccc1F,1247.0,4.904133546521457,3.0878000000000014,49.57000000000001,375.87499999999966,6,1,3,True
765,CHEMBL231654,N[C@H](C(=O)N1CCC(F)(F)C1)[C@@H]1CCN(S(=O)(=O)c2ccc(OC(F)(F)F)cc2)C1,995.0,5.002176919254275,1.7907000000000002,92.94000000000001,457.4209999999998,6,1,5,True
766,CHEMBL396195,COc1cc(CNC(=O)[C@@H]2CCCN2C(=O)C[C@H](N)Cc2ccccc2F)ccc1O,864.0,5.063486257521107,2.107200000000001,104.89,429.4919999999997,11,3,5,True
767,CHEMBL231653,CSc1cc(F)c(C[C@@H](N)CC(=O)N2CCn3c(nnc3C(F)(F)F)C2)cc1F,780.0,5.107905397309519,2.5993000000000013,77.04,435.42199999999974,7,1,6,True
768,CHEMBL231552,N[C@@H](CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(F)(F)F)cc1)Cc1ccccc1F,731.0,5.13608262304214,3.411800000000002,75.43,451.46399999999966,8,2,3,True
769,CHEMBL231551,N[C@@H](CC(=O)N1CCC[C@H]1C(=O)NCc1ccccc1)Cc1ccccc1F,539.0,5.268411234813262,2.393,75.43,383.4669999999996,8,2,3,True
770,CHEMBL388900,CN(C)C(=O)[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CCOCC1,520.0,5.2839966563652006,1.8505999999999996,75.87,399.4659999999996,8,1,4,True
771,CHEMBL230938,O=C([C@@H]1Cc2ccc(-c3cccc(-c4nnn[nH]4)c3)cc2CN1)N1CC[C@H](F)C1,310.0,5.508638306165727,2.1184,86.8,392.4379999999997,3,2,5,True
772,CHEMBL230937,COC(=O)Cc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)C[C@H](N)Cc2ccccc2F)cc1,170.0,5.769551078621726,2.019,101.73,473.56999999999977,11,2,6,True
773,CHEMBL230840,N[C@@H](CC(=O)N1CSC[C@H]1C(=O)NCc1ccc(CC(=O)O)cc1)Cc1ccccc1F,37.0,6.431798275933005,1.930600000000001,112.73,459.5429999999998,10,3,6,True
774,CHEMBL427261,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(Cl)ccc1F,21.0,6.6777807052660805,2.3917,77.04,405.7829999999998,5,1,5,True
775,CHEMBL390193,N[C@H]1CN(c2ccccc2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,210.0,5.6777807052660805,4.0584000000000024,66.56,420.35299999999967,3,2,4,True
776,CHEMBL390080,CCc1nnc2ccc(N3CC[C@H](c4cc(F)c(F)cc4F)[C@@H](N)C3)nn12.O=C(O)C(F)(F)F,6.0,7.221848749616356,3.0585000000000004,109.64,490.40799999999973,5,2,8,True
777,CHEMBL231497,Cc1nnc2ccc(N3CC[C@H](c4cc(F)c(F)cc4F)[C@@H](N)C3)nn12.O=C(O)C(F)(F)F,6.0,7.221848749616356,2.80452,109.64,476.38099999999974,4,2,8,True
778,CHEMBL231496,N[C@H]1CN(c2ccc3nncn3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,31.0,6.508638306165727,2.4961,109.64,462.3539999999998,3,2,8,True
779,CHEMBL390241,Cn1nc2ccc(N3CC[C@H](c4cc(F)c(F)cc4F)[C@@H](N)C3)nn2c1=O.O=C(O)C(F)(F)F,5.0,7.301029995663981,1.7997999999999998,118.74999999999999,492.37999999999977,4,2,9,True
780,CHEMBL231396,N[C@H]1CN(c2ccc3nc(=O)ccn3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,1.2,7.920818753952375,2.4612999999999996,113.82000000000001,489.37599999999975,3,2,8,True
781,CHEMBL231294,N[C@H]1CN(c2ccn3cnnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,26.0,6.585026652029182,2.4961,109.64,462.3539999999998,3,2,8,True
782,CHEMBL231196,N[C@H]1CN(c2cnc3nccnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,13.0,6.886056647693163,2.7916000000000007,118.12000000000002,474.3649999999998,3,2,8,True
783,CHEMBL231195,N[C@H]1CN(c2cnc3cncnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,43.0,6.366531544420414,2.7916000000000007,118.12000000000002,474.3649999999998,3,2,8,True
784,CHEMBL231194,N[C@H]1CN(c2cnc3cccnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,130.0,5.886056647693163,3.396600000000001,105.23,473.3769999999998,3,2,7,True
