SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
Cc1[nH]ncc1S(=O)(=O)N(C)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683086",2538,Done,5.07,-7.73353,"glide_grid_1X70",-8.14673,-1.19,-0.520334,-0,-1.92736,-37.4593,-19.1469,0.484605,-0.248645,-87.3726,-56.6062,10.7772
Cc1n[nH]cc1S(=O)(=O)N(C)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683086",2539,Done,4.84,-7.0703,"glide_grid_1X70",-7.4835,-1.03014,-0.555429,-0,-1.98989,-34.0318,-16.6712,0.484605,-0.190375,-78.9189,-50.7031,12.477
Cn1cnc(S(=O)(=O)N(C)[C@H]2CC[C@H]([C@H]([NH3+])Cc3cc(F)ccc3F)CC2)c1,"CHEMBL1683087",2540,Done,4.22,-7.58877,"glide_grid_1X70",-7.59127,-1.0206,-0.473757,-0,-2.22025,-35.8278,-16.081,0.484605,-0.157728,-78.3899,-51.9088,16.335
Cc1oncc1S(=O)(=O)N(C)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683088",2541,Done,4.49,-7.68688,"glide_grid_1X70",-7.68938,-1.18856,-0.485974,-0,-1.91947,-37.5975,-16.2919,0.482528,-0.254247,-82.8163,-53.8894,10.8594
CC(=O)Nc1nc(C)c(S(=O)(=O)N(C)[C@H]2CC[C@H]([C@H]([NH3+])Cc3cc(F)ccc3F)CC2)s1,"CHEMBL1683089",2542,Done,6.6,-7.58619,"glide_grid_1X70",-7.58619,-0.850883,-0.505748,-0,-1.56329,-34.6287,-20.9411,0.418989,-0.21266,-87.6042,-55.5697,13.4121
CN([C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1cccnc1,"CHEMBL1683090",2543,Done,3.86,-7.66873,"glide_grid_1X70",-7.67123,-1.00955,-0.532903,-0,-1.99529,-31.7917,-19.1266,0.491024,-0.165929,-81.7388,-50.9183,7.19232
Cc1noc(C)c1S(=O)(=O)N(C)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683091",2544,Done,4.23,-8.19647,"glide_grid_1X70",-8.19897,-1.22186,-0.491629,-0,-2.27391,-38.6481,-16.3856,0.454347,-0.275683,-89.8911,-55.0336,5.69622
CCN([C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1c(C)noc1C,"CHEMBL1683092",2545,Done,4.45,-7.55839,"glide_grid_1X70",-7.56089,-1.21504,-0.44357,-0,-1.95971,-37.1642,-15.392,0.428572,-0.204135,-80.8692,-52.5562,13.4357
CCN([C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1)S(C)(=O)=O,"CHEMBL1683095",2546,Done,3.75,-8.62819,"glide_grid_1X70",-8.63069,-1.07474,-0.427641,-0,-2.62866,-30.1239,-21.504,0.41125,-0.179106,-84.922,-51.6278,8.07619
CS(=O)(=O)N(Cc1ccccc1)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683096",2547,Done,5.71,-7.93261,"glide_grid_1X70",-7.93511,-1.2709,-0.500749,-0,-2.31258,-33.0324,-16.8767,0.464055,-0.131824,-79.6611,-49.9091,7.89239
