SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NC(=O)[C@@H]1CCCN1C(=O)c1ccc(NC(=O)c2ccc([O-])cc2)cc1,"CHEMBL2086605",3140,"NO POSES STORED FOR LIGAND",9.13,,,,,,,,,,,,,,
NC(=O)[C@@H]1CCCN1C(=O)c1ccc(NC(=O)c2ccc(F)cc2)cc1,"CHEMBL2086606",3141,"NO POSES STORED FOR LIGAND",9.03,,,,,,,,,,,,,,
Cc1ccc(C(=O)Nc2ccc(C(=O)N3CCC[C@H]3C(N)=O)cc2)cc1,"CHEMBL2086609",3144,"NO POSES STORED FOR LIGAND",8.81,,,,,,,,,,,,,,
NC(=O)[C@@H]1CCCN1C(=O)c1ccc(NC(=O)c2ccc(-c3ccccc3)cc2)cc1,"CHEMBL2086610",3145,"NO POSES STORED FOR LIGAND",2.48,,,,,,,,,,,,,,
N#Cc1ccc(C(=O)NCCC(=O)N2CCC[C@H]2C#N)cc1,"CHEMBL2086611",3146,"NO GOOD POSES FOUND",0.08,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CCNC(=O)c1ccc(C(F)(F)F)cc1,"CHEMBL2086612",3147,"NO GOOD POSES FOUND",0.12,,,,,,,,,,,,,,
N#Cc1ccc(C(=O)NCCCC(=O)N2CCC[C@H]2C#N)cc1,"CHEMBL2086613",3148,"NO GOOD POSES FOUND",0.11,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CCCNC(=O)c1ccc(C(F)(F)F)cc1,"CHEMBL2086614",3149,"NO GOOD POSES FOUND",0.17,,,,,,,,,,,,,,
N#Cc1ccc(C(=O)Nc2ccc(C(=O)N3CCC[C@H]3C#N)cc2)cc1,"CHEMBL2086615",3150,"NO GOOD POSES FOUND",0.08,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)c1ccc(NC(=O)c2ccc(C(F)(F)F)cc2)cc1,"CHEMBL2086616",3151,"NO GOOD POSES FOUND",0.14,,,,,,,,,,,,,,
COc1ccccc1Cn1c(N2CCC[C@@H]([NH3+])C2)[nH+]c2c3cc(C(=O)[O-])ccc3n(C)c(=O)c21,"CHEMBL2147059",3163,"NO POSES STORED FOR LIGAND",3.04,,,,,,,,,,,,,,
Cn1c(=O)c2c([nH+]c(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2ccccc21,"CHEMBL2147087",3191,"NO POSES STORED FOR LIGAND",2.58,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H]([NH+]2CCN(c3nc(-c4ccccc4)cs3)CC2)CN1)N1CCSC1,"CHEMBL2147702",3207,"NO POSES STORED FOR LIGAND",5.17,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3nc(-c4ccccc4)cs3)CC2)CN1)N1CCSC1,"CHEMBL2147702",3209,"NO GOOD POSES FOUND",0.81,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3[nH+]ccn3-c3ccccc3)CC2)CN1)N1CCSC1,"CHEMBL2147703",3212,"NO POSES STORED FOR LIGAND",6.58,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H]([NH+]2CCN(c3nccn3-c3ccccc3)CC2)CN1)N1CCSC1,"CHEMBL2147703",3213,"NO POSES STORED FOR LIGAND",6.17,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3nnnn3-c3ccccc3)CC2)CN1)N1CCSC1,"CHEMBL2147704",3217,"NO GOOD POSES FOUND",0.19,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H]([NH+]2CCC(c3nnnn3-c3ccccc3)CC2)CN1)N1CCSC1,"CHEMBL2147705",3219,"NO POSES STORED FOR LIGAND",6.74,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCC(c3nnnn3-c3ccccc3)CC2)CN1)N1CCSC1,"CHEMBL2147705",3220,"NO GOOD POSES FOUND",0.17,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3nnnn3C3CCCCC3)CC2)CN1)N1CCSC1,"CHEMBL2147706",3223,"NO GOOD POSES FOUND",0.26,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3ccnn3-c3ccccc3)CC2)CN1)N1CCSC1,"CHEMBL2147707",3226,"NO GOOD POSES FOUND",0.21,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H]([NH+]2CCN(c3cc(C(F)(F)F)nn3-c3ccccc3)CC2)CN1)N1CCSC1,"CHEMBL2147709",3227,"NO POSES STORED FOR LIGAND",6.79,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3cc(C(F)(F)F)nn3-c3ccccc3)CC2)CN1)N1CCSC1,"CHEMBL2147709",3229,"NO GOOD POSES FOUND",0.25,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H]([NH+]2CCC(c3cc(C(F)(F)F)nn3-c3ccccc3)CC2)CN1)N1CCSC1,"CHEMBL2147710",3230,"NO POSES STORED FOR LIGAND",7.63,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCC(c3cc(C(F)(F)F)nn3-c3ccccc3)CC2)CN1)N1CCSC1,"CHEMBL2147710",3232,"NO GOOD POSES FOUND",0.19,,,,,,,,,,,,,,
Cc1cc(N2CC[NH+]([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc(F)cc2)n1,"CHEMBL2147711",3233,"NO POSES STORED FOR LIGAND",5.45,,,,,,,,,,,,,,
Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc(F)cc2)n1,"CHEMBL2147711",3235,"NO GOOD POSES FOUND",0.22,,,,,,,,,,,,,,
Cc1cc(N2CC[NH+]([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2cccc(F)c2)n1,"CHEMBL2147712",3236,"NO POSES STORED FOR LIGAND",5.57,,,,,,,,,,,,,,
Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2cccc(F)c2)n1,"CHEMBL2147712",3238,"NO GOOD POSES FOUND",0.21,,,,,,,,,,,,,,
Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2F)n1,"CHEMBL2147713",3241,"NO GOOD POSES FOUND",0.21,,,,,,,,,,,,,,
Cc1cc(N2CC[NH+]([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc(Cl)cc2)n1,"CHEMBL2147714",3242,"NO POSES STORED FOR LIGAND",5.21,,,,,,,,,,,,,,
Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc(Cl)cc2)n1,"CHEMBL2147714",3244,"NO GOOD POSES FOUND",0.22,,,,,,,,,,,,,,
Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc(C#N)cc2)n1,"CHEMBL2147715",3247,"NO GOOD POSES FOUND",0.21,,,,,,,,,,,,,,
Cc1cc(N2CC[NH+]([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccn2)n1,"CHEMBL2147771",3248,"NO POSES STORED FOR LIGAND",5.23,,,,,,,,,,,,,,
Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccn2)n1,"CHEMBL2147771",3250,"NO GOOD POSES FOUND",0.21,,,,,,,,,,,,,,
Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccncc2)n1,"CHEMBL2147772",3253,"NO GOOD POSES FOUND",0.21,,,,,,,,,,,,,,
Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2cccnc2)n1,"CHEMBL2147773",3256,"NO GOOD POSES FOUND",0.21,,,,,,,,,,,,,,
Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc(C#N)cn2)n1,"CHEMBL2147774",3259,"NO GOOD POSES FOUND",0.22,,,,,,,,,,,,,,
Cc1cc(N2CC[NH+]([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,"CHEMBL2147775",3260,"NO POSES STORED FOR LIGAND",5.02,,,,,,,,,,,,,,
Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,"CHEMBL2147775",3262,"NO GOOD POSES FOUND",0.18,,,,,,,,,,,,,,
Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,"CHEMBL2147777",3265,"NO GOOD POSES FOUND",0.23,,,,,,,,,,,,,,
N[C@@H](CC(=O)NC1(c2cccc(-c3ccncc3)c2)CCS(=O)(=O)CC1)Cc1ccccc1F,"CHEMBL2206466",3310,"NO POSES STORED FOR LIGAND",4.93,,,,,,,,,,,,,,
